id,name,category,management,block,address,phone,website,registry_code,is_active
TECH_024,St. Lawrence Technical Training Centre / Private ITI,Industrial Training Institute (ITI),Private Self-Financing,Thuckalay,"Mulagumoodu Post, Kalkulam Taluk, Kanyakumari District — 629167",+91 4651 248234,[Unverified],NCVT MIS Code: PR33000329,1
TECH_025,Maria Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Thiruvattar,"Maria Nagar, Attoor, Thiruvattar, Kanyakumari District — 629177",+91 4651 282111,https://www.mariapolytechnic.com,TNDTE Affiliated | AICTE Approved,1
TECH_026,Vivekananda Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Thiruvattar,"Yettacode, Near Kulasekharam, Thiruvattar Taluk — 629177",+91 4651 278288,http://www.vivekanandapolytechnic.edu.in,TNDTE Code: 866 | AICTE Approved,1
TECH_027,B.I.T.S. Information Technology Private ITI,Industrial Training Institute (ITI),Private Self-Financing,Thiruvattar,"Post Office Road, Kulasekharam, Thiruvattar Taluk — 629161",+91 4651 277112,[Unverified],NCVT MIS Code: PR33000062,1
TECH_028,Bethlehem Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Killiyoor,"Bethlehem Campus, Karungal, Killiyoor Taluk — 629157",+91 4651 268494,http://www.bethlehem.edu.in,TNDTE Affiliated | AICTE Approved,1
TECH_029,J.E. Private Industrial Training Institute,Industrial Training Institute (ITI),Private Self-Financing,Killiyoor,"Main Road, Karungal, Killiyoor Taluk — 629157",+91 4651 268334,[Unverified],NCVT MIS Code: PR33000171,1
TECH_030,St. Joseph's Private Industrial Training Institute,Industrial Training Institute (ITI),Private Self-Financing,Munchirai,"Ezhudesam, Kollencode, Munchirai Block — 629160",+91 4651 240212,[Unverified],NCVT MIS Code: PR33000305,1
TECH_031,Matha Private Industrial Training Institute,Industrial Training Institute (ITI),Private Self-Financing,Munchirai,"Kuzhithurai West, Munchirai Block Border — 629163",+91 4651 260111,[Unverified],NCVT MIS Code: PR33000201,1
TECH_032,Vethamonickam Memorial C.S.I. Polytechnic College (VM CSI),Polytechnic College (Diploma),Private Self-Financing,Melpuram,"Viricode, Near Kuzhithurai Railway Station, Marthandam — 629165",+91 4651 272288,https://www.vmcsipolytechnic.org,TNDTE Affiliated | AICTE Approved,1
TECH_033,Union Christian Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Melpuram,"Kuttaicode, Melpalai, Melpuram Block — 629152",+91 4651 270333,[Unverified],TNDTE Code: 494 | AICTE Approved,1
TECH_034,St. John's Private Industrial Training Institute,Industrial Training Institute (ITI),Private Self-Financing,Melpuram,"Kattuvilai, Marthandam, Vilavancode / Melpuram — 629165",+91 4651 270444,[Unverified],NCVT MIS Code: PR33000302,1
